! This file is used to collect the name and truncation information during database conversion.
! It help you to decide the which name should be given a better alias.
! You can modify the truncation name and then copy it to alias.dbs.
! Maximum name length is 60, maximum data amount is 1000. 
! File format: name  truncation
! e.g., abcdefghijkl abcde
cr(oh)3(h2po4)-                                                 cr(oh)3(h2po
cr(oh)3(hpo4)-2                                                 cr(oh)3(hpo4
cr(oh)3(po4)-3                                                  cr(oh)3(po4)
cr(oh)4(hpo4)(h2po4)-4                                          cr(oh)4(hpo4
2k2so4.fe2(so4)3:14h2o                                          2k2so4.fe2(s
2kcl.fecl3:h2o                                                  2kcl.fecl3:h
acanthite(alpha)                                                acanthite(al
acanthite(beta)                                                 acanthite(be
acanthite(gamma)                                                acanthite(ga
aegerine(alpha)                                                 aegerine(alp
almandine(alpha)                                                almandine(al
amorphous_silica                                                amorphous_si
anthophyllite                                                   anthophyllit
argutite(alpha)                                                 argutite(alp
argutite(beta)                                                  argutite(bet
arsenocrandallite                                               arsenocranda
arsenoflorencite(ce)                                            arsenofloren
arsenoflorencite(la)                                            arsenofloren
arsenogorceixite                                                arsenogorcei
arsenogoyazite                                                  arsenogoyazi
beidellite(ca)                                                  beidellite(c
beidellite(k)                                                   beidellite(k
beidellite(mg)                                                  beidellite(m
beidellite(na)                                                  beidellite(n
beidellitesbid                                                  beidellitesb
beidellitesbid(4.576h2o)                                        beidellitesb
berthierine(th)                                                 berthierine(
bornite(alpha)                                                  bornite(alph
bornite(beta)                                                   bornite(beta
bornite(gamma)                                                  bornite(gamm
bunsenite(alpha)                                                bunsenite(al
bunsenite(beta)                                                 bunsenite(be
ca3(aso4)2:3.66h2o                                              ca3(aso4)2:3
ca4(oh)2(aso4)2:4h2o                                            ca4(oh)2(aso
ca4h(po4)3:2.5h2o                                               ca4h(po4)3:2
caalh(po4)2:6h2o                                                caalh(po4)2:
celadonite(fe)                                                  celadonite(f
chalcocite(alpha)                                               chalcocite(a
chalcocyanite                                                   chalcocyanit
chalcopyrite(alpha)                                             chalcopyrite
chalcopyrite(beta)                                              chalcopyrite
chalcopyrite(gamma)                                             chalcopyrite
chamosite(daphnite)                                             chamosite(da
chlorapatite(pp)                                                chlorapatite
chlorapatite(synth)                                             chlorapatite
chlorargyrite                                                   chlorargyrit
chloromagnesite                                                 chloromagnes
cinnabar(alpha)                                                 cinnabar(alp
cinnabar(beta)                                                  cinnabar(bet
clinoptilolite(ca)                                              clinoptiloli
clinoptilolite(k)                                               clinoptiloli
clinoptilolite(na)                                              clinoptiloli
