
THERMOK with O2(aq)          switched with H2(aq)         


THERMOK with SO3--           switched with SO4--


THERMOK with SO4--           switched with SO3--


THERMOK with S2O3--          switched with SO4--


THERMOK with SO4--           switched with S2O3--


THERMOK with S2O4--          switched with SO4--


THERMOK with SO4--           switched with S2O4--


THERMOK with HS-             switched with SO4--


THERMOK with SO4--           switched with HS-


THERMOK with Fe+++           switched with Fe++


THERMOK with Fe++            switched with Fe+++

 File format and data suitable for TOUGHREACT V2.3+ (YMP)
 May needs component switching to avoid overdefinitions


!end-of-header     Do not remove this record!
'Temperature points:'   8    0.01   25.00   60.00  100.00  150.00  200.00  250.00  300.00
'traceri'                          0.00  0.00     0
'tracerv'                          0.00  0.00     0
'H2O'                              0.00  0.00     18.015
'H+'                               3.08  1.00      1.008
'H2(aq)'                           0.00  0.00      2.016   !switched
'Ag+'                              2.20  1.00    107.870
'Al+++'                            3.33  3.00     26.982
'Ar(aq)'                           0.00  0.00     39.948
'Au+'                              2.31  1.00    196.967
'B(OH)3(aq)'                       0.00  0.00     61.833
'Ba++'                             3.22  2.00    137.340
'Be++'                             2.80  2.00      9.012
'Bi+++'                            3.60  3.00    208.980
'Br-'                              1.96 -1.00     79.909
'Ca++'                             2.87  2.00     40.078
'Cd++'                             2.85  2.00    112.400
'Ce+++'                            3.60  3.00    140.120
'Cl-'                              1.81 -1.00     35.453
'Co++'                             2.80  2.00     58.933
'CrO4--'                           3.00 -2.00    115.994
'Cs+'                              2.61  1.00    132.905
'Cu++'                             2.60  2.00     63.540
'Dy+++'                            3.60  3.00    162.500
'Er+++'                            3.60  3.00    167.260
'Eu+++'                            3.60  3.00    151.960
'F-'                               1.33 -1.00     18.998
'Fe++'                             2.62  2.00     55.847   !switched
'Fr+'                              2.31  1.00    223.020
'Ga+++'                            3.44  3.00     69.720
'Gd+++'                            3.79  3.00    157.250
'Ge(OH)4(aq)'                      0.00  0.00    140.619
'H2AsO4-'                          1.81 -1.00    140.935
'H2PO4-'                           1.81 -1.00     96.987
'H4SiO4(aq)'                       0.00  0.00     96.115
'HCO3-'                            2.10 -1.00     61.017
'He(aq)'                           0.00  0.00      4.003
'Hf++++'                           4.50  4.00    178.490
'Hg++'                             2.98  2.00    200.590
'Ho+++'                            3.60  3.00    164.930
'I-'                               2.20 -1.00    126.904
'In+++'                            3.63  3.00    114.820
'K+'                               2.27  1.00     39.102
'Kr(aq)'                           0.00  0.00     83.800
'La+++'                            3.96  3.00    138.910
'Li+'                              1.64  1.00      6.939
'Lu+++'                            3.60  3.00    174.970
'Mg++'                             2.54  2.00     24.312
'Mn++'                             2.68  2.00     54.938
