! This file is used to collect the name and truncation information during database conversion.
! It help you to decide the which name should be given a better alias.
! You can modify the truncation name and then copy it to alias.dbs.
! Maximum name length is 60, maximum data amount is 1000. 
! File format: name ; truncation
! e.g., abcdefghijkl abcde
acetic_acid(aq)                                             ; acetic_acid(
naal(oh)2f2(aq)                                             ; naal(oh)2f2(
naal(oh)3f(aq)                                              ; naal(oh)3f(a
acanthite,alpha                                             ; acanthite,al
acanthite,beta                                              ; acanthite,be
acanthite,gamma                                             ; acanthite,ga
aegerine,alpha                                              ; aegerine,alp
aegerine,beta                                               ; aegerine,bet
aegerine,gamma                                              ; aegerine,gam
almandine,alpha                                             ; almandine,al
almandine,beta                                              ; almandine,be
analcime,dehydrated                                         ; analcime,deh
antigorite,alpha                                            ; antigorite,a
antigorite,beta                                             ; antigorite,b
argutite,alpha                                              ; argutite,alp
argutite,beta                                               ; argutite,bet
bornite,alpha                                               ; bornite,alph
bornite,gamma                                               ; bornite,gamm
bunsenite,alpha                                             ; bunsenite,al
bunsenite,beta                                              ; bunsenite,be
bunsenite,gamma                                             ; bunsenite,ga
caal_pyroxene                                               ; caal_pyroxen
chalcocite,alpha                                            ; chalcocite,a
chalcocite,beta                                             ; chalcocite,b
chalcocite,gamma                                            ; chalcocite,g
chlorite_cca--                                              ; chlorite_cca
clinochlore_14a                                             ; clinochlore_
coesite,alpha                                               ; coesite,alph
cordierite,hydrous                                          ; cordierite,h
corundum,alpha                                              ; corundum,alp
corundum,gamma                                              ; corundum,gam
edenite,alpha                                               ; edenite,alph
enstatite,alpha                                             ; enstatite,al
enstatite,beta                                              ; enstatite,be
enstatite,gamma                                             ; enstatite,ga
epidote,ordered                                             ; epidote,orde
ferrous_oxide                                               ; ferrous_oxid
fe-saponiteca                                               ; fe-saponitec
fe-saponitemg                                               ; fe-saponitem
fe-saponitena                                               ; fe-saponiten
hematite,alpha                                              ; hematite,alp
hematite,beta                                               ; hematite,bet
hematite,gamma                                              ; hematite,gam
hemihydroxichloride_ca                                      ; hemihydroxic
heulandite_hatches                                          ; heulandite_h
hopeite,alpha                                               ; hopeite,alph
hydrotalcite-co3                                            ; hydrotalcite
hydroxichloride_ca                                          ; hydroxichlor
hydroxy_pyromorphite                                        ; hydroxy_pyro
i/s_iscz-1_2.966h2o                                         ; i/s_iscz-1_2
i/s_iscz-1_des                                              ; i/s_iscz-1_d
kalsilite,alpha                                             ; kalsilite,al
kalsilite,beta                                              ; kalsilite,be
kcl.mgcl2.6h2o                                              ; kcl.mgcl2.6h
larnite,alpha                                               ; larnite,alph
lawsonite,alpha                                             ; lawsonite,al
lawsonite,beta                                              ; lawsonite,be
maghemite_disordered                                        ; maghemite_di
maghemite_ordered                                           ; maghemite_or
magnetite,alpha                                             ; magnetite,al
magnetite,beta                                              ; magnetite,be
margarite,alpha                                             ; margarite,al
margarite,beta                                              ; margarite,be
mineralh2_45b                                               ; mineralh2_45
mineralh2_15b                                               ; mineralh2_15
mineralh2_10b                                               ; mineralh2_10
monosulfoalu-fe                                             ; monosulfoalu
muscovite_desord                                            ; muscovite_de
muscovite_ord                                               ; muscovite_or
natrolite,alpha                                             ; natrolite,al
natrolite,beta                                              ; natrolite,be
potassium_oxide                                             ; potassium_ox
prehnite,alpha                                              ; prehnite,alp
prehnite,beta                                               ; prehnite,bet
pyrrhotite,alpha                                            ; pyrrhotite,a
pyrrhotite,beta                                             ; pyrrhotite,b
pyrrhotite,gamma                                            ; pyrrhotite,g
riebeckite,alpha                                            ; riebeckite,a
riebeckite,beta                                             ; riebeckite,b
riebeckite,gamma                                            ; riebeckite,g
stilbite,alpha                                              ; stilbite,alp
stilbite,beta                                               ; stilbite,bet
zn_rockbridgite                                             ; zn_rockbridg
cj4-glass-fe3                                               ; cj4-glass-fe
